# Hate group DNS Blocklist
# - Based off 
#       - Southern Poverty Law Center's list of hate groups. 
#           - https://www.splcenter.org/fighting-hate
#           - https://www.splcenter.org/hate-map -- Click "Download Data"
#       - Center for Countering Digital Hate
#           - https://counterhate.co.uk
#       - Other resources:
#           - https://nowtoronto.com/news/canada-islamophobic-groups/
# 
# - URL: https://tch3.net/hg-dnsbl/blocklist.txt
#        
# - File format:
#   Name|website|category|date-added|date updated/checked|anything-else
#
# - I started this list ~2018 and only using 2016+ data
#
# - Lines beginning with 
#       ? are groups/domains that are not in the list, but are on the SPLC site.
#       + are newly added groups in the list.
#       - are active groups which have been in previous year's lists, but 
#         are not in the current year's list
#       x are domains which no longer exist (nx) (removed from configs)
#       d are domains which still exist, but are non-functional (remain in configs)
#       r are groups which are no longer in the list
#
###########################################################################
### Custom
###########################################################################
Faith Baptist Church (formerly Sons of Thundr)|faithbaptistchalmette.com|Anti-LGBTQ|2018|2020
Faith2Action|f2a.org|Anti-LGBTQ|2018|2020
Faithful Word Baptist Church|faithfulwordbaptist.org|Anti-LGBTQ|2018|2020
Family Research Council|frc.org|Anti-LGBTQ|2018|2020
Family Research Institute|familyresearchinst.org|Anti-LGBTQ|2018|2020
Family Watch International|familywatch.org|Anti-LGBTQ|2018
Family Watch International (Redirect)|familywatchinternational.org|Anti-LGBTQ|2018
+ First Works Baptist Church|fwbcla.org|Anti-LGBTQ|2020|2020
Generations (formerly Generations With Vision)|generations.org|Anti-LGBTQ|2018|2020
Heterosexuals Organized for a Moral Environment (H.O.M.E.)|home60515.com|Anti-LGBTQ|2018|2020
Illinois Family Institute|illinoisfamily.org|Anti-LGBTQ|2018|2020
## Illinois Family Institute Tri-County chapter|Duplicate. illinoisfamily.org|Anti-LGBTQ|2018|2020
+ Liberty Baptist Church (Rock Falls)|libertybc.sermon.net|2020|2020
Liberty Counsel|lc.org|Anti-LGBTQ|2018|2020
Mass Resistance|massresistance.org|Anti-LGBTQ|2018|2020
Mission: America|missionamerica.com|Anti-LGBTQ|2018|2020
Pacific Justice Institute|pacificjustice.org|Anti-LGBTQ|2018|2020
Pass the Salt Ministries|coachdavelive.com|Anti-LGBTQ|2018|2020
Pilgrims Covenant Church|pccmonroe.org|Anti-LGBTQ|2018|2020
Probe Ministries|probe.org|Anti-LGBTQ|2018
? Providence Road Baptist Church|prbcnc.com|Anti-LGBTQ|2018
Public Advocate of the United States|publicadvocateusa.org|Anti-LGBTQ|2018|2020
+ Revival Baptist Church (Florida)|revivalbaptistorlando.com|Anti-LGBTQ|2020|2020
Ruth Institute|ruthinstitute.org|Anti-LGBTQ|2018|2020
Save California|savecalifornia.com|Anti-LGBTQ|2018|2020
+ Scott Lively Ministries (see also: Abiding Truth Ministries)|scottlively.net|Anti-LGBTQ|2020|2020
Stedfast Baptist Church|stedfastbaptistkjv.org|Anti-LGBTQ|2018|2020
+ Strong Hold Baptist Church|strongholdbaptist.church|Anti-LGBTQ|2020|2020
Sure Foundation Baptist Church|surefoundationbaptist.church|Anti-LGBTQ|2018|2020
? TC Family (Traverse City Family)|tcfamily.org|Anti-LGBTQ|2018|2020
The Campus Ministry USA, The|BroJed.org|Anti-LGBTQ|2018|2020
The Pray in Jesus Name Project|prayinjesusname.org|Anti-LGBTQ|2018|2020
Tom Brown Ministries|tbm.org|Anti-LGBTQ|2018|2020
x Traditional Values Coalition|traditionalvalues.org|Anti-LGBTQ|2018
True Light Pentecost Church|truelightpentecost.org|Anti-LGBTQ|2018|2020
United Families International|unitedfamilies.org|Anti-LGBTQ|2018|2020
Verity Baptist Church|veritybaptist.com|Anti-LGBTQ|2018|2020
Warriors For Christ|wfcchurch.org|Anti-LGBTQ|2018|2020
Westboro Baptist Church|godhatesfags.com|Anti-LGBTQ|2018|2020
Westboro Baptist Church|godhatesamerica.com|Anti-LGBTQ|2018|2020
? Windsor Hills Baptist Church|windsorhills.org|Anti-LGBTQ|2018
World Congress of Families/International Organization for the Family|worldcongress.org|Anti-LGBTQ|2018|2020
#
#
###########################################################################
### Anti-Muslim
###########################################################################
ACT for America|actforamerica.org|Anti-Muslim|2018|2020
? American Constitution Center|americanconstitutioncenter.org|Anti-Muslim|2018|
American Freedom Alliance|americanfreedomalliance.org|2018|2020
American Freedom Defense Initiative (Stop Islamization of America)|freedomdefense.typepad.com|Anti-Muslim|2018|2020
American Freedom Law Center|americanfreedomlawcenter.org|Anti-Muslim|2018|2020
American Public Policy Alliance|publicpolicyalliance.org|Anti-Muslim|2018|2020
? Bare Naked Islam|barenakedislam.com|Anti-Muslim|2018|2020
Bomb Islam|bombislam.com|Robert Sterkeson|Anti-Muslim|2018|2020
## ? Bosch Fawstin|N/A|Anti-Muslim|2018|2020
## Bureau on American Islamic Relations|N/A|Anti-Muslim|2018|2020
Center for Security Policy|centerforsecuritypolicy.org|Anti-Muslim|2018|2020
Christian Action Network|christianaction.org|Anti-Muslim|2018|2020
? Citizen Warrior|citizenwarrior.com|Anti-Muslim|2018|2020
Citizens for National Security|cfns.us|Anti-Muslim|2018|2020
x Citizens' Action Group of South Florida|cagsfl.online|Anti-Muslim|2018|
Clarion Project|clarionproject.org|Anti-Muslim|2018|
## + Concerned Community Citizens|N/A|ANti-Muslim|2020|2020
Counter Jihadist Coalition of Southern California|counterjihadcoalition.org|Anti-Muslim|2018|2020
Cultures In Context Incorporated/Turning Point Project|turningpointproject.com|Anti-Muslim|2018|2020
David Horowitz Freedom Center|horowitzfreedomcenter.org|Anti-Muslim|2018|2020
? - Faith Freedom|faithfreedom.org|Anti-Muslim|2018|2020
? - Faith Leaders for America (Center for Security Policy)|faithleadersforamerica.com|Anti-Muslim|2018|2020
d - Family Security Matters (Center for Security Policy)|familysecuritymatters.org|Anti-Muslim|2018|
## + Florida Family Association|N/A|Anti-Muslim|2020|2020
Fortress of Faith|fortressoffaith.com|Anti-Muslim|2018|2020
+ Fortress of Faith (related)|kari55.com|Anti-Muslim|2020|2020
## Foundation for Advancing Christian Truth|N/A: FB|Anti-Muslim|2018|2020
##+ G416 Patriots|N/A: FB|Anti-Muslim|2018|
Glazov Gang Productions/Jamie Galazov|jamieglazov.com|Anti-Muslim|2018|2020
+ Global Faith Institute|globalfaith.org|Anti-Muslim|2020|2020
? III% Security Force|iiisecurityforce.com|Anti-Muslim|2018|
? Islamthreat.com|Islamthreat.com|Anti-Muslim|2018|
Jihad Watch|jihadwatch.org|Anti-Muslim|2018|2020
## - Keep South Dakota Safe PAC|N/A|Anti-Muslim|2018|2020
Last Chance Patriots|lastchancepatriots.org|Anti-Muslim|2018|2020
- Lincoln County Citizen Action Network|lincolncountycan.com|Custom Anti-Muslim|2017|2020
- North Carolina Pastors Network|ncpastors.net|Custom Anti-Muslim|2018|2020
## - Pig Blood Bullets|N/A: FB|Anti-Muslim|2016|2020
Political Islam|politicalislam.com|Anti-Muslim|2018|2020
Proclaiming Justice to the Nations|pjtn.org|Anti-Muslim|2018|2020
Radio Jihad/Global Patriot Radio|radiojihad.org|Anti-Muslim|2018|
Refugee Resettlement Watch|refugeeresettlementwatch.org|Anti-Muslim|2018|
d - Refugee Resettlement Watch (removed TOS)|refugeeresettlementwatch.wordpress.com|Anti-Muslim|2018|
Rise Align Ignite Reclaim/RAIR Foundation|rairfoundation.com|Anti-Muslim|2019|2020
Sea Jay Foundation|seajayfoundation.org|Anti-Muslim|2019|2020
d - Secure Michigan|securemichigan.org|Anti-Muslim|2016|2020
## Sharia Crime Stoppers/United West, The (duplicate)|theunitedwest.org|Anti-Muslim|2016|2020
Shoebat Foundation, The|shoebat.com|Anti-Muslim|2018|
d Silver Bullet Gun Oil|silverbulletgunoil.net|Anti-Muslim|2017|2020
## Soldiers of Odin|N/A: FB|Anti-Muslim|2018|2020
Southeast Michigan Tea Party|semichiganteaparty.com|Anti-Muslim|2018|2020
? Stop the Islamization of the World|siotw.org|Anti-Muslim|2018|
- Sultan Knish a blog by Daniel Greenfield|sultanknish.blogspot.com|Anti-Muslim|2016|2020
- Sultan Knish a blog by Daniel Greenfield|danielgreenfield.org|Anti-Muslim|2016|2020
## Sunshine on Government (SONG) Alliance|N/A: FB|Anti-Muslim|2017|2020
# x Team America Political Action Committee|teamamericapac.com|Anti-Muslim|2017|2020
The Straight Way and More|thestraightway.org|Anti-Muslim|2016|2020
The United West/Sharia Crime Stoppers|theunitedwest.org|Anti-Muslim|2018|2020
## - Treasure Valley Refugee Watch|N/A: YT|Anti-Muslim|2018|2020
+ Thomas More Law Center|thomasmore.org|Anti-Muslim|2019|2020
Truth in Love Project|tilproject.com|Anti-Muslim|2018|2020
Truth in Textbooks (Texas)|truthintexastextbooks.com|Anti-Muslim|2017|2020
Unconstrained Analytics|unconstrainedanalytics.org|Anti-Muslim|2017|2020
Understanding the Threat|understandingthethreat.com|Anti-Muslim|2018|2020
Virginia Christian Alliance|vachristian.org|Anti-Muslim|2018|2020
#
#
###########################################################################
### Antigovernment Movement
###########################################################################
#
###########################################################################
### Black Separatist/Black Nationalist
###########################################################################
## Ambassadors of Christ|N/A|Black Separatist|2019|2020
## Ancient Egyptian Distribution Company|N/A: FB|Black Separatist|2019|2020
## Army of Israel|N/A|Black Separatist|2019|2020
Black Riders Liberation Party|2servethapeople.wixsite.com|Black Separatist|2018|2020
Black Riders Liberation Party|blackridersliberationparty.com|Black Separatist|2018|2020
## Great Milestone|N/A|Black Separatist|2019|2020
## House of David|N/A|Black Separatist|2019|2020
## House of Israel|N/A|Black Separatist|2019|2020
## International Society of Indigenous Sovereigns|N/A: FB|Black Separatist|2019|2020
Israel United In Christ|israelunite.org|Black Separatist|2019
Israel United in Christ*|israelunitedinchrist.tumblr.com|Black Separatist|2019
Israelite Church of God in Jesus Christ, Md/DC*|icgjcmd.org|Black Separatist|2019
Israelite Church of God in Jesus Christ (Holy Conception Unit)|theholyconceptionunit.org|Black Separatist|2020|2020
Israelite Church of God in Jesus Christ (Saints Unit)|saintsunit.org|Black Separatist|2020|2020
Israelite Church of God in Jesus Christ (Pittsburgh Unit)|icgjcpgh.org|Black Separatist|2020|2020
Israelite School of Universal Practical Knowledge|isupk.com|Black Separatist|2016|2020
d - Israelite School of Universal Practical Knowledge*|1west.org|2016|2020
## Israelite the Branches|N/A|Black Separatist|2018|2020
Israelites Saints of Christ|israelitessaintsofchrist.org|Black Separatist|2018|2020
## Lion of Judah - Jeshurun Lions|N/A|Black Separatist|2018|2020
Lions of Israel|thelionsofisrael.com|Black Separatist|2017|2020
+ Masharah Yasharahla - Government of Israel| masharahyasharahla.com|Black Separatist|2019|2020
## Mountains of Israel|N/A|Black Separatist|2019|2020
Nation of Islam|noi.org|Black Separatist|2016|2020
##+ Nation of Kings and Priests|N/A: FB|Black Separatist|2018|2020
## - New Black Liberation Militia|N/A: Google Sites/FB|Black Separatist|2018|2020
New Black Panther Party|nbppnational.org|Black Separatist|2016|2020
New Black Panther Party for Self Defense|nbpp.org|Black Separatist|2016|2020
## Northern Kingdom Prophets|N/A: YT|Black Separatist|2018|2020
## OneBody in Yahawashi|N/A|Black Separatist|2017|2020
Revolutionary Black Panther Party|therevolutionaryblackpantherparty.org|Black Separatist|2017|2020
Sicarii 1715|exodus1715.info|Black Separatist|2016|2020
Sicarii 1715|exodus1715.org|Black Separatist|2016|2020
The Israelite Church of God in Jesus Christ|thecomforter.info|Black Separatist|2016|2020
True Nation Israelite Congregation|truenation.org|Black Separatist|2018|2020
True Nation Israelite Congregation|truenation.websitetoolbox.com|Black Separatist|2018|2020
## Trumpet in Philly|N/A|Black Separatist|2018|2020
United Kingdom of Israel Congregation|unitedkingdomofisrael.org|Black Separatist|2017|2020
War On The Horizon|waronthehorizon.com|Black Separatist|2016|2020
War On The Horizon (related: store)|socialarchitects26.com|Black Separatist|2016|2020
## Watchmen for Israel (Baltimore)[needs confirmation of other groups]|factsaboutisrael.uk|Black Separatist|2018|2020
#
#
###########################################################################
### Christian Identity
###########################################################################
Christian Revival Center|christianrevivalcenter.org|Cristian Identity|2016|2020
Christogenea (was: Non-Universal Teaching Ministries)|christogenea.org|Christian Identity|2016|2020
Church of Israel|churchofisrael.org|Christian Identity|2016|2020
Church of Israel (old)|churchofisrael.info|Christian Identity|2016|2020
Covenant People’s Ministry|covenantpeoplesministry.org|Christian Identity|2016|2020
Divine International Church of the Web|revandrewangel.com|Christian Identity|2016|2020
- Divine Truth Minstries|divine-truth.org|Christian Identity|2016|2020
Euro Folk Radio|eurofolkradio.com|Christian Identity|2016|2020
Fellowship of God’s Covenant People|fgcp.org|Christian Identity|2016|2020
Kingdom Identity Ministries|kingidentity.com|Christian Identity|2016|2020
- Kinsman Redeemer Ministries|kinsmanredeemer.com|Christian Identity|2016|2020
Mission to Israel|missiontoisrael.org|Christian Identity|
Our Place Fellowship/Xulon Publishing|sonplace.com|Christian Identity|2016|2020
- Restored Assembly of Elohim|raoe.org|Christian Identity|2018|2020
Sacred Truth Publishing & Ministries|sacredtruthministries.com|Christian Identity|2016|2020
Scriptures for America Worldwide Ministries|sfaw.org|Christian Identity|2016|2020
Scriptures for America Worldwide Ministries (broadcast network)|sfawbn.org|Christian Identity|2016|2020
- Virginia Publishing Company|richardhoskins.com|Christian Identity|2016|2020
## Weisman Publications|N/A|Christian Identity|2016|2020
- Yahushua Dual Seed Christian Identity Ministry|yahushuadsciministry.us|Christian Identity|2016|2020
- Yahweh’s Truth|jameswickstrom.com|Christian Identity|2016|2020
#
#
###########################################################################
### General Hate
###########################################################################
## 211 Bootboys aka 211 Crew|N/A|General Hate|2017|2020
A2Z Publications|a2zpublications.com|General Hate|2018|2020
A2Z Publications|kriegbook.com|General Hate|2018|2020
## + All Eyes on Egipt, Decatur, GA|N/A: FB|2020|2020
All Eyes on Egipt (Macon, GA)|aeoebookstore.com|General Hate|2018|2020
All Eyes on Egipt Bookstore (Chicago, IL)|alleyesonegiptchgo.webs.com|General Hate|2016|2020
